condition_id,token,closed,outcome
0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,21742633143463906290569050155826241533067272736897614950488156847949938836455,True,1.0
0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,42699080635179861375280720242213672850141860123562672932351602811041149946128,True,1.0
0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,43898019188443109254544011644141095748327433947336326565220861409147408981284,True,1.0
0x2010ff3939e8e664dd57369aa907bbaa6d03ae18be27fe3ab2f4cdcb95a8b2ab,67648321332889562720702742465853245863647268672651902649177972067583993370930,True,1.0
0xa59e2e79dc1a564477c8d77dc32c30b37c0f4c8782c8cc062a7f788295cd91bb,8506489790932625039746959405160059426243994232527626857062384302531008283468,True,1.0
0xbfa2065aca0ad40d731bb8d249e14bbffd54a57fe5bbeb6b438f714bf7a564eb,74405919057031726591990777370595920590155604530765555705214385173695068665759,True,0.0
0x9a0da0f25f94fce088c88803b296d48dd19717370dbafa97484f3ddac70ee4dc,115707715167373261399734260542020796347329928638142033825445370749810433822651,True,1.0
0x53098776eb95dbbd2e899c4fcd787a043ba725f55433948da2fbd00abdfcd3ae,107715390014862406485536118714081498606413437514382660058593986098320182104000,True,0.0
0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,72094069823942324362885404801938332659316240217382754851102758232469673300092,True,0.0
0x421bc1929df1429cf2cb94f80c1ce6a3ed0d1f0b7a2749b9890075f94eb549e9,72964978221398605522514751377428383911377976290846845653048953950250638951071,True,0.0
0x09e6257e042135da89877e5989e13fcb9f353638a588648c27d66c4c64701645,58369280457622913106857982206819987764567414919584351509934338819370674571140,True,0.0
0xb8724de28f0dcdb71b55abc89f54a5788f7d7fc364160ec6a45b941d5c332988,45942712780956716290595528630059826510539112426790184133339143529925294470101,True,1.0
0xb8724de28f0dcdb71b55abc89f54a5788f7d7fc364160ec6a45b941d5c332988,53919346162802748120847155404148342783978231188785990665971474884640857460504,True,0.0
0x3904885b86a86a2e20b76d92e3eb91ba5e9d6cd3ed294ee759c5f638fe8ec9bb,2575019569713867230163687809334189476608940225482792735183279931653015476505,True,0.0
0x1abd45a88831049ff7db1ff4456ed08c0f1c29d54aefaabaedc04465f39c578f,74835519882355583805772343716595301419552900506451796312096053703428888528877,True,0.0
0x522402b339695a5c11d6faac2723822ef40f513569c54e8df12e043d78f687c5,93443214774916778849479909177952843381688414695081000823688194873542183413097,True,1.0
0x6a8cfe84d17693425f27831db5949d7511f3393d4624b182ac6956164cd32b10,110685453135299924591630149473529665994132772243041725681323799510474856345343,True,0.0
0x366f89649caea042c96ee741b185461ec7faa408a2664ec44469a0061924b537,15995243820336177841554632127584222169952027258346817014909996961549144471612,True,0.0
0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7,31867385211987925701696042012772036156561382644688734856312468506547392739862,True,1.0
0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,5904694069529905826680225678119990013628860098514322777023141327768111791078,True,1.0
0xedfd694c155ccbcc8bb4e819b5d220da28d9262766ec887a79bb27a78f5d6ae0,56298171512263675220803333396442804369644631488784809893225723519219382698258,True,1.0
0x17e2f3347e34d8a13572baf10c9b4eb3291217868a0fb84b37f36c80f8e2105a,89197230931921713679747543407334161079954641716437720586655130807468320244629,True,0.0
0x5833eb918b6df030934f699e3d477db4ededda8f4d1b7e118a91029ab2d4d152,72034199679685605777746108880436699468836661260225341006687916047384310465181,True,1.0
0x0923f4cd56ffdd032deca9984f9779303b58c6ef9317c0c6490acccb477ba150,103146822800955228694960469584465618974402104793575818808187047895725122181216,True,1.0
0x9bb9f7c70674e2043580bf634753858eded9b360252c06f891688b95a542ac46,46476571633828462836475465912978735855757483955249703286193576900705262818709,True,1.0
0x0923f4cd56ffdd032deca9984f9779303b58c6ef9317c0c6490acccb477ba150,98459181579236923586844159348634682860151195540312195350235235649190114114052,True,0.0
0x221b05db581e0beb3bd140683b89b06f6bb565f67674fb7243c6d3789ee18b96,104121662816591135157633034467926697984733660874566468356740527855523275425437,True,0.0
0x9bb9f7c70674e2043580bf634753858eded9b360252c06f891688b95a542ac46,21824609976117105848555444850550421549651562100464735804855968490014825878128,True,0.0
0xf2bdcb7bab8408a5509a07e4d931457e395293290b2f251b2dbf3a30932b11ef,41284873129725842500884801942360270477285040005052243147060142826717769851361,True,1.0
0xd14c2ee48e14082291c8a21d18613883e71ce3a5f31459553c979fb6982dbc7e,43882079433707073237575499116245059691100518446669646092410435535277783187340,True,
0xdc09be650f66b005c91e585611c924c6ecaac2a313a467b145f0978e5e675f39,56862034715455423626898676009927020086579681828752811859299251028347089169631,True,1.0
0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,55115078421062885512539156303747803058407616201213034911037320915726138659123,False,
0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,True,1.0
0x96e604a3688387194df4b8fae8514c9555edf6d53563d84d06bc7fb62fe8fef4,12975279090075715546187285542753074853025681000106176700535873318060556829793,True,1.0
0x802adc7238db42d431521f625b2a367954d04ebf8836109257dd4a3b961c6108,17715982439478661834311049562760143604624789531022579847720445317445850946683,True,1.0
0xd90bf5f45f24c5de7881707cb5374f3d991388a2d220fa7e0fe2be912cd7642a,110136933550893624733134445460153301975615510734202337526927943993346922198810,True,1.0
0xd90bf5f45f24c5de7881707cb5374f3d991388a2d220fa7e0fe2be912cd7642a,71785764076184626205908849503698513178149020682140821352707942313255784790169,True,0.0
0x16608c4fdd7cb41292f6d42c1c02b43ac22593f1c198a104847a3479848d7abe,72023838050558098356071669795726076034130956366809809419534122573023839650143,True,1.0
0xb91bcf97aed2a45f079de5a8683035e8505562523bc2b643518175ee11fb7bed,31232421682960001105826623941217547138998834298705166871879814019888783572321,True,1.0
0xcc5ffe6f0dd2ebbdae948dff2ebb541c17fb03eecd9e152bd0c91646d4e0049a,59788553781128540398588774210208012652245355317980690648888234455544785488143,True,1.0
0xe019971a21471bafef51fa115830d095f2c5a28d828d8ee6317efc8cab867bc4,95543325355023520116349941085333928397256164688840895196400984594943195733902,True,0.0
