token,condition_id,question,event_date,n_buyers,entry_price,in_price_band,first_buy_span_hours,price_chase,pairwise_jaccard,indep_score,indep_class,temporal_pass,price_pass,comovement_pass,outcome,pnl,resolution_status
21742633143463906290569050155826241533067272736897614950488156847949938836455,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,Will Donald Trump win the 2024 US Presidential Election?,2024-10-30,3,0.642,True,28.2361,0.044,0.463,2,independent,True,True,False,1.0,0.5576,resolved
42699080635179861375280720242213672850141860123562672932351602811041149946128,0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-07,3,0.3289,True,16.6689,-0.0361,0.7667,1,cascade,False,True,False,1.0,2.0404,resolved
43898019188443109254544011644141095748327433947336326565220861409147408981284,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,Kamala Harris wins the popular vote?,2024-11-07,4,0.279,True,109.7392,-0.086,0.5662,2,independent,True,True,False,1.0,2.5842,resolved
67648321332889562720702742465853245863647268672651902649177972067583993370930,0x2010ff3939e8e664dd57369aa907bbaa6d03ae18be27fe3ab2f4cdcb95a8b2ab,Will a Republican win the popular vote and the Presidency? ,2024-11-07,4,0.27,True,115.3578,-0.08,0.5662,2,independent,True,True,False,1.0,2.7037,resolved
8506489790932625039746959405160059426243994232527626857062384302531008283468,0xa59e2e79dc1a564477c8d77dc32c30b37c0f4c8782c8cc062a7f788295cd91bb,Will a Republican win Wisconsin Presidential Election?,2024-11-11,3,0.47,True,8.2364,0.01,0.5707,1,cascade,False,True,False,1.0,1.1277,resolved
74405919057031726591990777370595920590155604530765555705214385173695068665759,0xbfa2065aca0ad40d731bb8d249e14bbffd54a57fe5bbeb6b438f714bf7a564eb,Texans vs. Steelers,2026-01-13,3,0.41,True,141.6461,0.01,0.0129,3,independent,True,True,True,0.0,-1.0,resolved
115707715167373261399734260542020796347329928638142033825445370749810433822651,0x9a0da0f25f94fce088c88803b296d48dd19717370dbafa97484f3ddac70ee4dc,Spurs vs. Thunder,2026-05-24,3,0.69,True,4.6019,0.0,0.0222,2,independent,False,True,True,1.0,0.4493,resolved
107715390014862406485536118714081498606413437514382660058593986098320182104000,0x53098776eb95dbbd2e899c4fcd787a043ba725f55433948da2fbd00abdfcd3ae,"US x Iran permanent peace deal by May 22, 2026?",2026-05-26,3,0.1072,True,3.2342,0.0074,0.1074,2,independent,False,True,True,0.0,-1.0,resolved
72094069823942324362885404801938332659316240217382754851102758232469673300092,0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,"US x Iran permanent peace deal by May 31, 2026?",2026-05-26,3,0.17,True,12.5394,0.08,0.1074,1,cascade,False,False,True,0.0,-1.0,resolved
72964978221398605522514751377428383911377976290846845653048953950250638951071,0x421bc1929df1429cf2cb94f80c1ce6a3ed0d1f0b7a2749b9890075f94eb549e9,"US x Iran permanent peace deal by May 26, 2026?",2026-05-26,3,0.32,True,44.6789,0.1206,0.1074,2,independent,True,False,True,0.0,-1.0,resolved
